depth,vsh,phit,sw,perm
2010.0,0.4173,0.1511,0.3051,453.7544
2010.2,0.8885,0.0782,0.6296,15.3069
2010.4,0.7077,0.0933,0.6567,15.9207
2010.6,0.2341,0.1738,0.6542,350.2312
2010.8,0.5334,0.1613,0.6324,216.1204
2011.0,0.5698,0.1256,0.7999,67.313
2011.2,0.3993,0.1363,0.7093,60.1663
2011.4,0.4767,0.1389,0.9607,210.0941
2011.6,0.4914,0.1474,1.0,280.4437
2011.8,0.248,0.1804,0.2784,221.0755
2012.0,0.2953,0.1784,0.2133,230.7456
2012.2,0.4758,0.1778,0.542,473.1899
2012.4,0.4649,0.1836,0.6164,259.3651
2012.6,0.3437,0.2147,0.517,1350.4052
2012.8,0.3308,0.1438,0.6622,463.8526
2013.0,0.4365,0.1453,0.5156,167.9471
2013.2,0.5829,0.157,0.4473,104.7616
2013.4,0.4385,0.153,0.4716,284.4701
2013.6,0.6934,0.1457,0.5259,156.6504
2013.8,0.3456,0.1785,0.6694,395.537
2014.0,0.479,0.1884,0.4659,799.6924
2014.2,0.3969,0.1885,0.4955,930.9871
2014.4,0.5382,0.1702,0.6317,357.1043
2014.6,0.3328,0.1678,0.5173,313.2218
2014.8,0.7391,0.1205,0.7336,367.2165
2015.0,0.1964,0.188,0.4011,1305.5541
2015.2,0.7073,0.0965,0.4052,80.9565
2015.4,0.4635,0.1883,0.5846,628.6445
2015.6,0.5329,0.1646,0.6091,148.9752
2015.8,0.6502,0.1273,0.4336,232.0205
2016.0,0.5786,0.1697,0.7479,380.0232
2016.2,0.3405,0.1624,0.838,188.8928
2016.4,0.54,0.112,0.4753,58.9555
2016.6,0.7301,0.1438,0.7798,86.1791
2016.8,0.3169,0.1526,0.1959,445.0049
2017.0,0.7678,0.1147,0.7298,120.722
2017.2,0.5079,0.1571,0.4227,275.1163
2017.4,0.385,0.1769,0.6899,407.203
2017.6,0.316,0.1953,0.3919,435.3727
2017.8,0.4165,0.1766,0.5333,95.6391
2018.0,0.1567,0.2103,0.4086,397.9883
2018.2,0.3877,0.153,0.521,129.804
2018.4,0.4106,0.1717,0.8201,196.065
2018.6,0.2888,0.1518,0.5373,255.8332
2018.8,0.5622,0.177,0.86,737.6887
2019.0,0.4172,0.1369,0.5016,127.0666
2019.2,0.3546,0.1663,0.7715,827.5501
2019.4,0.4012,0.1407,0.3141,89.7636
2019.6,0.5033,0.139,0.5157,133.9447
2019.8,0.461,0.1594,0.4701,249.8787
2020.0,0.3449,0.1639,0.7793,623.0252
2020.2,0.4688,0.181,0.5696,505.5102
2020.4,0.4424,0.1661,0.2346,341.7964
2020.6,0.2791,0.1739,0.3482,123.1361
2020.8,0.4067,0.1636,0.3969,156.213
2021.0,0.5369,0.1735,0.6849,814.8225
2021.2,0.5358,0.1674,0.668,77.0524
2021.4,0.4155,0.1424,0.5122,408.726
2021.6,0.5515,0.1336,0.4785,179.0366
2021.8,0.303,0.1895,0.6459,354.5933
2022.0,0.3077,0.1865,0.3702,307.5196
2022.2,0.4123,0.1446,0.6251,636.1993
2022.4,0.6746,0.1459,0.6117,472.7052
2022.6,0.4745,0.1396,0.5172,137.6478
2022.8,0.4087,0.1921,0.597,701.3307
2023.0,0.6816,0.1406,0.5733,98.5204
2023.2,0.407,0.1436,0.6314,183.7172
2023.4,0.7852,0.1058,0.3718,36.9044
2023.6,0.3733,0.1598,0.6425,247.7236
2023.8,0.2982,0.1838,0.6947,1774.4182
2024.0,0.425,0.1598,0.5985,244.9565
2024.2,0.4126,0.1426,0.6474,78.8966
2024.4,0.3288,0.1487,0.5383,74.917
2024.6,0.8403,0.1201,0.6999,95.2515
2024.8,0.4978,0.16,0.56,155.5688
2025.0,0.5196,0.1535,0.3806,260.738
2025.2,0.3807,0.1752,0.6672,130.6373
2025.4,0.3633,0.1597,0.3053,419.7481
2025.6,0.6038,0.144,0.5991,81.215
2025.8,0.1986,0.2446,0.4588,2808.7334
2026.0,0.2786,0.2067,0.4643,757.0939
2026.2,0.4129,0.1597,0.5761,855.5771
2026.4,0.6527,0.1234,0.4585,107.6536
2026.6,0.3938,0.1108,0.6467,259.0129
2026.8,0.5124,0.1737,0.5533,566.2806
2027.0,0.4542,0.1758,0.4513,1088.9771
2027.2,0.6444,0.1241,0.7653,84.3433
2027.4,0.2123,0.1633,0.5796,366.2446
2027.6,0.5604,0.1229,0.6597,219.1109
2027.8,0.4202,0.1734,0.7574,712.1998
2028.0,0.5887,0.1405,0.7681,221.4643
2028.2,0.3271,0.1907,0.6249,489.1737
2028.4,0.4537,0.1618,0.5041,248.0377
2028.6,0.4346,0.182,0.327,1058.9521
2028.8,0.2996,0.1878,0.5701,1438.302
2029.0,0.2579,0.2025,0.6974,565.5594
2029.2,0.3629,0.1303,0.6153,69.2555
2029.4,0.4695,0.1333,0.0442,67.4288
2029.6,0.3365,0.1683,0.6774,586.8244
2029.8,0.4005,0.1887,0.6785,306.1114
2030.0,0.1671,0.2355,0.4748,3731.4155
2030.2,0.3944,0.1647,0.6966,436.0707
2030.4,0.6035,0.1281,0.6572,74.7634
2030.6,0.5558,0.1075,0.4684,181.8086
2030.8,0.437,0.1796,0.7331,164.6002
2031.0,0.4865,0.1448,0.3662,543.4032
2031.2,0.3258,0.2362,0.5112,2689.4331
2031.4,0.6937,0.1136,0.5452,17.4476
2031.6,0.7602,0.1618,0.4257,829.3341
2031.8,0.4747,0.1723,0.5909,723.2856
2032.0,0.8386,0.0887,0.7753,27.3153
2032.2,0.348,0.1787,0.7299,226.5216
2032.4,0.2623,0.2008,0.6425,274.7057
2032.6,0.3436,0.1701,0.2918,1846.6302
2032.8,0.4171,0.1817,0.3412,253.1933
2033.0,0.7968,0.1311,0.5867,49.5001
2033.2,0.4078,0.1781,0.5379,521.7956
2033.4,0.3211,0.1773,0.4686,136.8146
2033.6,0.3152,0.1549,0.8381,115.9374
2033.8,0.621,0.1365,0.5755,273.1448
2034.0,0.5996,0.1444,0.6379,235.3747
2034.2,0.3772,0.1327,0.7093,94.7079
2034.4,0.1686,0.2011,0.542,829.8408
2034.6,0.2807,0.181,0.9305,346.2425
