depth,vsh,phit,sw,perm
1850.0,0.2547,0.1772,0.8507,395.5635
1850.2,0.4692,0.1602,0.8179,223.639
1850.4,0.4026,0.1931,0.7074,153.9558
1850.6,0.4475,0.1289,0.4246,60.0326
1850.8,0.322,0.1525,0.6815,178.0598
1851.0,0.5819,0.1112,0.6657,42.4808
1851.2,0.5667,0.1293,0.6289,292.6282
1851.4,0.4599,0.1681,0.7345,293.4557
1851.6,0.6191,0.1488,0.65,469.576
1851.8,0.5201,0.1569,0.6625,251.7312
1852.0,0.3211,0.1494,0.65,201.128
1852.2,0.5053,0.1071,0.6225,57.3484
1852.4,0.3062,0.1807,0.2744,466.8896
1852.6,0.5818,0.1338,0.5733,417.7269
1852.8,0.4425,0.1708,0.4625,71.3562
1853.0,0.4223,0.1783,0.3509,109.428
1853.2,0.3479,0.1768,0.7958,287.8827
1853.4,0.6334,0.1516,0.813,210.6272
1853.6,0.4268,0.1682,0.7508,532.0571
1853.8,0.3858,0.1797,0.5806,628.2209
1854.0,0.3972,0.1535,0.7554,168.4502
1854.2,0.5298,0.1465,0.5575,365.8724
1854.4,0.5048,0.1573,0.5817,497.3423
1854.6,0.5119,0.1688,0.3827,381.3106
1854.8,0.5146,0.1442,0.6161,330.4733
1855.0,0.7712,0.1286,0.5719,133.4192
1855.2,0.389,0.1633,0.3535,195.6672
1855.4,0.3732,0.1684,0.5392,537.086
1855.6,0.3279,0.1933,0.525,712.5591
1855.8,0.5424,0.1085,0.8405,63.52
1856.0,0.6193,0.1123,0.7034,194.8448
1856.2,0.4329,0.1332,0.5627,23.0828
1856.4,0.324,0.1306,0.5993,43.7974
1856.6,0.3263,0.1634,0.5555,127.1136
1856.8,0.5476,0.1627,0.5187,220.549
1857.0,0.5615,0.1402,0.3958,127.5993
1857.2,0.5315,0.1538,0.5301,78.2381
1857.4,0.3502,0.1956,0.4241,355.7869
1857.6,0.4848,0.1826,0.3537,270.6641
1857.8,0.4675,0.1569,0.6282,1318.5894
1858.0,0.4828,0.1833,0.5996,1740.2947
1858.2,0.5807,0.1452,0.2882,131.442
1858.4,0.4835,0.1394,0.5401,115.8839
1858.6,0.5518,0.1353,0.7095,60.0444
1858.8,0.4601,0.1297,0.7213,30.4351
1859.0,0.4934,0.1371,0.7133,128.9107
1859.2,0.5447,0.1409,0.5637,77.9698
1859.4,0.2314,0.2055,0.4053,872.6206
1859.6,0.402,0.2013,0.3711,272.9461
1859.8,0.3794,0.1423,0.609,95.2017
1860.0,0.3542,0.1811,0.5987,522.2327
1860.2,0.4087,0.1452,0.7492,225.2714
1860.4,0.6742,0.1405,0.723,204.725
1860.6,0.3201,0.1751,0.5244,160.4405
1860.8,0.5952,0.1048,0.3857,103.306
1861.0,0.1976,0.2125,0.4814,645.3237
1861.2,0.3998,0.1551,0.5848,355.9802
1861.4,0.4744,0.1467,0.5252,180.8016
1861.6,0.5379,0.1276,0.4765,41.5199
1861.8,0.5567,0.1334,0.5988,101.4671
1862.0,0.569,0.1534,0.4773,282.4903
1862.2,0.3977,0.1637,0.4545,445.1722
1862.4,0.3806,0.1763,0.5904,374.66
1862.6,0.5787,0.1509,0.4936,588.491
1862.8,0.4213,0.1908,0.5745,1235.566
1863.0,0.2586,0.179,0.5836,372.4244
1863.2,0.28,0.1535,0.3819,369.0283
1863.4,0.3121,0.2001,0.462,3033.4252
1863.6,0.5246,0.1441,0.7723,657.1474
1863.8,0.4714,0.1801,0.3679,196.0929
1864.0,0.5536,0.1546,0.2349,119.4514
1864.2,0.3859,0.1664,0.2684,876.4313
1864.4,0.4738,0.1644,0.5528,143.1373
1864.6,0.5438,0.1872,0.544,223.8929
1864.8,0.4036,0.2083,0.5133,713.3749
1865.0,0.5185,0.1529,0.7352,289.3275
1865.2,0.3507,0.1769,0.1426,391.0212
1865.4,0.3955,0.1893,0.5979,377.216
1865.6,0.3927,0.1512,0.788,129.6219
1865.8,0.2706,0.1909,0.3687,378.0657
1866.0,0.523,0.1504,0.4971,110.0108
1866.2,0.3796,0.1762,0.4308,1988.6476
1866.4,0.4519,0.1437,0.4226,205.8146
