depth,vsh,phit,sw,perm
2050.0,0.4405,0.1552,0.2046,256.0833
2050.2,0.4908,0.1709,0.6703,449.3474
2050.4,0.7707,0.0667,0.7078,11.717
2050.6,0.7849,0.0966,0.4845,21.2496
2050.8,0.3694,0.1539,0.5063,159.3665
2051.0,0.2064,0.1793,0.5643,508.6731
2051.2,0.4574,0.1292,0.6246,91.2262
2051.4,0.5646,0.1342,0.4633,59.1431
2051.6,0.7209,0.1138,0.4399,335.9425
2051.8,0.4342,0.1574,0.3884,140.757
2052.0,0.3977,0.1732,0.7683,150.3098
2052.2,0.6168,0.1136,0.7518,44.797
2052.4,0.3116,0.1698,0.3825,626.36
2052.6,0.4144,0.1635,0.4145,429.0449
2052.8,0.4508,0.1234,0.4058,328.2596
2053.0,0.4393,0.1605,0.3273,132.755
2053.2,0.6419,0.14,0.8509,122.9809
2053.4,0.5303,0.1652,0.438,610.6563
2053.6,0.3689,0.1449,0.6702,83.9423
2053.8,0.4147,0.1622,0.4986,623.1137
2054.0,0.8697,0.13,0.5293,117.5971
2054.2,0.2335,0.1545,0.5091,130.025
2054.4,0.1682,0.1977,0.5903,227.5656
2054.6,0.2638,0.1547,0.5246,326.1435
2054.8,0.4956,0.146,0.6677,495.179
2055.0,0.6205,0.122,0.7388,116.3795
2055.2,0.4327,0.1704,0.453,460.616
2055.4,0.3654,0.1659,0.5785,371.0454
2055.6,0.3398,0.1496,0.3093,373.2786
2055.8,0.19,0.2254,0.4458,3736.7175
2056.0,0.6899,0.1325,0.564,16.7714
2056.2,0.4196,0.1843,0.5106,413.2209
2056.4,0.4834,0.1343,0.5442,84.3253
2056.6,0.5779,0.1358,0.6374,153.7485
2056.8,0.658,0.1531,0.6618,165.4047
2057.0,0.4161,0.1501,0.2353,271.9205
2057.2,0.3132,0.1786,0.5703,553.2004
2057.4,0.4468,0.1597,0.5031,69.4709
2057.6,0.4302,0.1159,0.4956,17.3145
2057.8,0.3663,0.1703,0.7555,589.0101
2058.0,0.2607,0.1772,0.2798,238.3753
2058.2,0.5084,0.1496,0.5464,646.4671
2058.4,0.6488,0.12,0.7821,156.7994
2058.6,0.7128,0.1001,0.585,14.6339
2058.8,0.3365,0.1593,0.408,148.7537
2059.0,0.7138,0.1152,0.5357,90.1185
2059.2,0.2849,0.1945,0.8021,501.7558
2059.4,0.4724,0.1464,0.7314,160.4797
2059.6,0.6068,0.1421,0.4797,74.6029
2059.8,0.5329,0.1537,0.783,280.4359
2060.0,0.6618,0.1218,0.6611,92.8502
2060.2,0.2963,0.2003,0.1528,1350.6067
2060.4,0.4226,0.1567,0.5356,232.3172
2060.6,0.4195,0.1534,0.8267,141.9608
2060.8,0.6209,0.1601,0.5267,290.2724
2061.0,0.4153,0.1679,0.7752,420.6606
2061.2,0.4851,0.1081,0.3558,62.8385
2061.4,0.4113,0.1125,0.3729,165.5439
2061.6,0.5043,0.1853,0.71,249.9818
2061.8,0.3373,0.1771,0.6712,790.9701
2062.0,0.2821,0.1793,0.5386,193.0365
2062.2,0.3752,0.1261,0.6941,161.8563
2062.4,0.3123,0.1759,0.455,98.5744
2062.6,0.4196,0.1435,0.3879,135.6901
