depth,vsh,phit,sw,perm
2100.0,0.5534,0.1179,0.3345,42.5044
2100.2,0.608,0.1189,0.7862,191.7689
2100.4,0.558,0.1664,0.437,172.0292
2100.6,0.3297,0.1427,0.6408,589.8602
2100.8,0.6125,0.1451,0.5683,102.6398
2101.0,0.3939,0.1579,0.378,190.5893
2101.2,0.4953,0.1406,0.7519,135.0166
2101.4,0.4699,0.1384,0.7211,49.9205
2101.6,0.6216,0.1443,0.3209,58.9652
2101.8,0.509,0.1615,0.5386,514.1038
2102.0,0.2421,0.1535,0.5839,67.0663
2102.2,0.7637,0.1422,0.2467,916.7417
2102.4,0.5752,0.1203,0.248,82.3908
2102.6,0.3674,0.1793,0.4175,220.0189
2102.8,0.2794,0.1595,0.3535,346.7813
2103.0,0.5924,0.1326,0.4047,22.5375
2103.2,0.2971,0.1552,0.3552,182.9563
2103.4,0.5701,0.1342,0.5422,111.802
2103.6,0.6104,0.1354,0.4262,55.602
2103.8,0.3525,0.1505,0.7211,130.6815
2104.0,0.3392,0.1815,0.5687,1367.9056
2104.2,0.3795,0.1788,0.6619,502.1141
2104.4,0.3017,0.2343,0.2673,2700.5064
2104.6,0.4844,0.1746,0.4502,228.8198
2104.8,0.5058,0.1768,0.564,167.5203
2105.0,0.5591,0.1108,0.6379,57.2092
2105.2,0.325,0.1379,0.4619,26.1746
2105.4,0.576,0.138,0.4839,67.1899
2105.6,0.3018,0.2159,0.4692,518.7496
2105.8,0.5759,0.1935,0.4922,162.1726
2106.0,0.227,0.1763,0.8684,645.9322
2106.2,0.6852,0.1178,0.6141,74.9652
2106.4,0.3718,0.1818,0.5475,313.1452
2106.6,0.5399,0.1448,0.3675,274.6902
2106.8,0.5518,0.1437,0.3714,53.883
2107.0,0.2596,0.1984,0.5029,300.7069
2107.2,0.5753,0.1984,0.7044,1643.2148
2107.4,0.3674,0.1976,0.5053,3593.9946
2107.6,0.4041,0.204,0.5092,1424.8903
2107.8,0.3495,0.137,0.4478,192.8963
2108.0,0.6921,0.1501,0.2929,134.0148
2108.2,0.2745,0.1648,0.6139,203.9662
2108.4,0.5145,0.1856,0.5018,624.4419
2108.6,0.3565,0.2001,0.6011,2055.9367
2108.8,0.6137,0.1511,0.577,275.9559
2109.0,0.7982,0.0998,0.4297,96.5471
2109.2,0.3554,0.1634,0.5827,153.4564
2109.4,0.471,0.1498,0.3607,303.6001
2109.6,0.3922,0.1835,0.5735,316.4323
2109.8,0.6057,0.1481,0.5456,208.705
2110.0,0.4127,0.1939,0.7678,1027.6508
2110.2,0.5858,0.1749,0.4143,274.9633
2110.4,0.3903,0.1516,0.3546,103.2029
2110.6,0.7866,0.1257,0.502,130.8922
2110.8,0.1213,0.2133,0.6203,1043.7662
2111.0,0.5065,0.1512,0.1341,226.8246
2111.2,0.4484,0.1796,0.6737,712.6418
2111.4,0.443,0.1713,0.5144,887.8173
2111.6,0.4928,0.1435,0.3856,263.3153
2111.8,0.4588,0.1566,0.4964,345.7722
2112.0,0.4829,0.1493,0.4434,138.43
2112.2,0.5112,0.138,0.3753,112.6106
2112.4,0.7123,0.1243,0.2737,134.1269
2112.6,0.0352,0.1894,0.648,461.3869
2112.8,0.7271,0.1335,0.4769,172.6528
2113.0,0.834,0.138,0.5003,81.5258
2113.2,0.1873,0.1963,0.6624,2717.5305
2113.4,0.4572,0.1786,0.5512,502.4298
2113.6,0.6557,0.1366,0.3257,150.3355
2113.8,0.5878,0.122,0.6664,65.8976
2114.0,0.7014,0.1676,0.7698,1214.8831
2114.2,0.5058,0.1048,0.6478,24.0689
2114.4,0.1451,0.2011,0.4041,503.2229
2114.6,0.6457,0.1194,0.3456,154.4702
2114.8,0.5453,0.1797,0.4072,534.2127
2115.0,0.67,0.1359,0.5753,90.6982
2115.2,0.2199,0.2421,0.7313,1740.0598
2115.4,0.2676,0.1854,0.4262,434.0038
2115.6,0.4525,0.1451,0.4589,186.7798
2115.8,0.65,0.1,0.7275,146.5823
2116.0,0.6917,0.1508,0.4888,310.0487
2116.2,0.3411,0.1583,0.808,508.5136
2116.4,0.389,0.1603,0.5279,196.2156
2116.6,0.8808,0.1283,0.7381,156.418
2116.8,0.3671,0.1926,0.5946,221.2643
2117.0,0.5513,0.135,0.6663,149.6464
2117.2,0.3822,0.1605,0.5235,289.0574
