depth,vsh,phit,sw,perm
1800.0,0.3957,0.147,0.7881,209.7426
1800.2,0.3268,0.2142,0.7234,880.873
1800.4,0.0914,0.199,0.371,1053.8224
1800.6,0.6227,0.1132,0.3092,66.9513
1800.8,0.5125,0.1433,0.6917,45.607
1801.0,0.2497,0.174,0.8534,252.7698
1801.2,0.5802,0.1325,0.9112,212.3794
1801.4,0.469,0.1593,0.3381,118.4865
1801.6,0.6239,0.1472,0.759,83.729
1801.8,0.5601,0.1745,0.5436,341.7659
1802.0,0.3337,0.1802,0.2527,102.8495
1802.2,0.5503,0.1489,0.4257,320.4408
1802.4,0.5567,0.1321,0.4435,189.2967
1802.6,0.6083,0.1341,0.6319,247.3376
1802.8,0.5996,0.1308,0.3569,136.6444
1803.0,0.7617,0.092,0.719,22.2824
1803.2,0.5929,0.1928,0.6085,278.0101
1803.4,0.3323,0.181,0.6949,687.1703
1803.6,0.4766,0.1622,0.4503,458.0479
1803.8,0.2926,0.2057,0.5914,430.1983
1804.0,0.6314,0.085,0.4248,13.9661
1804.2,0.3216,0.2223,0.6268,1452.9064
1804.4,0.7847,0.0992,0.5389,53.9416
1804.6,0.4061,0.1487,0.5339,367.399
1804.8,0.4434,0.1506,0.5491,320.674
1805.0,0.3803,0.1895,0.2772,562.1286
1805.2,0.3425,0.2177,0.7056,2647.5062
1805.4,0.3704,0.2039,0.5451,694.7666
1805.6,0.4848,0.1464,0.7348,145.8565
1805.8,0.4526,0.1243,0.7325,176.1575
1806.0,0.386,0.1608,0.4279,520.5646
1806.2,0.496,0.1417,0.5171,313.3341
1806.4,0.3686,0.1385,0.3262,128.1062
1806.6,0.4493,0.1724,0.7292,388.8249
1806.8,0.7149,0.1257,0.6126,56.0787
1807.0,0.364,0.182,0.5716,898.4244
1807.2,0.4045,0.1812,0.5003,314.4095
1807.4,0.2768,0.1972,0.3899,184.9063
1807.6,0.3992,0.166,0.7402,228.9909
1807.8,0.5062,0.186,0.8407,298.575
1808.0,0.3707,0.1613,0.748,41.9858
1808.2,0.2799,0.1703,0.521,235.1767
1808.4,0.5042,0.1488,0.6132,331.4535
1808.6,0.5201,0.1621,0.7099,371.0209
1808.8,0.5421,0.1621,0.5635,370.3461
1809.0,0.2641,0.1783,0.8346,1168.5521
1809.2,0.6556,0.1271,0.7507,70.9958
1809.4,0.3768,0.1964,0.9535,325.5685
1809.6,0.2988,0.1544,0.5816,316.9418
1809.8,0.6037,0.1953,0.1739,891.636
1810.0,0.6503,0.1281,0.5738,45.4895
1810.2,0.4027,0.1628,0.4922,251.3192
1810.4,0.3251,0.1845,0.5664,750.5004
1810.6,0.5163,0.1625,0.8167,340.5853
1810.8,0.2501,0.1739,0.4634,639.9954
1811.0,0.8327,0.1168,0.4428,50.1767
1811.2,0.2952,0.1624,0.4523,105.3966
1811.4,0.5034,0.1416,0.8807,84.1108
1811.6,0.4259,0.1317,0.4925,218.5497
1811.8,0.312,0.1816,0.5805,977.7101
1812.0,0.3096,0.1756,0.821,360.5553
1812.2,0.6192,0.098,0.6746,134.8144
1812.4,0.5051,0.1397,0.2202,134.2371
1812.6,0.3456,0.1738,0.4722,270.3712
1812.8,0.366,0.1889,0.4408,220.3947
1813.0,0.328,0.1511,0.2924,195.0579
1813.2,0.5822,0.1371,0.4879,290.9244
1813.4,0.5883,0.1203,0.1578,211.1397
1813.6,0.5291,0.1647,0.5971,626.2188
1813.8,0.4881,0.1422,0.5585,227.1793
1814.0,0.544,0.1586,0.4446,761.8038
1814.2,0.2027,0.1861,0.2684,276.938
1814.4,0.4913,0.1211,0.775,203.4212
1814.6,0.6103,0.138,0.4738,174.148
1814.8,0.4846,0.1323,0.7259,141.6527
1815.0,0.4579,0.1819,0.5226,180.4498
1815.2,0.3546,0.2096,0.7493,1309.4422
1815.4,0.3646,0.1846,0.6281,1152.7794
1815.6,0.3715,0.1581,0.5677,57.4343
